State and County,FIPS,Longitude,Latitude,Population(2010),Total Area mi²
AL Autauga County,1001,-86.64449,32.536382,"54,571",604.388
AL Baldwin County,1003,-87.746067,30.659218,"182,265","2,027.311"
AL Barbour County,1005,-85.405456,31.87067,"27,457",904.515
AL Bibb County,1007,-87.127148,33.015893,"22,915",626.169
AL Blount County,1009,-86.567246,33.977448,"57,322",650.628
AL Bullock County,1011,-85.717261,32.101759,"10,914",625.143
AL Butler County,1013,-86.681969,31.751667,"20,947",777.882
AL Calhoun County,1015,-85.822513,33.771706,"118,572",612.287
AL Chambers County,1017,-85.391812,32.917943,"34,215",603.113
AL Cherokee County,1019,-85.654242,34.069515,"25,989",599.978
AL Chilton County,1021,-86.726628,32.85406,"43,643",700.802
AL Choctaw County,1023,-88.248887,31.991008,"13,859",920.859
AL Clarke County,1025,-87.818624,31.685521,"25,833","1,252.574"
AL Clay County,1027,-85.862051,33.267809,"13,932",606.001
AL Cleburne County,1029,-85.516109,33.671981,"14,972",561.013
AL Coffee County,1031,-85.989201,31.402183,"49,948",680.495
AL Colbert County,1033,-87.801457,34.703112,"54,428",622.129
AL Conecuh County,1035,-86.992029,31.428293,"13,228",852.722
AL Coosa County,1037,-86.243482,32.931445,"11,539",666.349
AL Covington County,1039,-86.448721,31.243987,"37,765","1,043.787"
AL Crenshaw County,1041,-86.319222,31.732826,"13,906",610.916
AL Cullman County,1043,-86.869267,34.131923,"80,406",755.021
AL Dale County,1045,-85.609476,31.430654,"50,251",562.701
AL Dallas County,1047,-87.114356,32.33354,"43,820",993.805
AL Dekalb County,1049,-85.803992,34.460929,"71,109",778.685
AL Elmore County,1051,-86.142739,32.597229,"79,303",657.042
AL Escambia County,1053,-87.168429,31.121748,"38,319",953.139
AL Etowah County,1055,-86.03442,34.047638,"104,430",548.629
AL Fayette County,1057,-87.752049,33.732249,"17,241",629.356
AL Franklin County,1059,-87.842815,34.441988,"31,704",646.523
AL Geneva County,1061,-85.824346,31.090866,"26,790",578.951
AL Greene County,1063,-87.964201,32.844497,"9,045",659.941
AL Hale County,1065,-87.623061,32.752796,"15,760",656.501
AL Henry County,1067,-85.239971,31.516978,"17,302",568.309
AL Houston County,1069,-85.296398,31.158193,"101,547",581.654
AL Jackson County,1071,-85.9774,34.763522,"53,227","1,126.771"
AL Jefferson County,1073,-86.896536,33.553444,"658,466","1,123.814"
AL Lamar County,1075,-88.087431,33.787085,"14,564",605.464
AL Lauderdale County,1077,-87.650997,34.904122,"92,709",720.990
AL Lawrence County,1079,-87.321865,34.529776,"34,339",717.199
AL Lee County,1081,-85.353048,32.604064,"140,247",615.849
AL Limestone County,1083,-86.9814,34.810239,"82,782",607.188
AL Lowndes County,1085,-86.650586,32.147888,"11,299",725.071
AL Macon County,1087,-85.692887,32.387027,"21,452",613.207
AL Madison County,1089,-86.55108,34.764238,"334,811",812.702
AL Marengo County,1091,-87.791091,32.247591,"21,027",982.671
AL Marion County,1093,-87.881551,34.138219,"30,776",743.571
AL Marshall County,1095,-86.321668,34.309564,"93,019",623.179
AL Mobile County,1097,-88.196568,30.684573,"412,992","1,644.012"
AL Monroe County,1099,-87.383266,31.580332,"23,068","1,034.418"
AL Montgomery County,1101,-86.203831,32.203651,"229,363",799.912
AL Morgan County,1103,-86.846402,34.454484,"119,490",599.053
AL Perry County,1105,-87.293827,32.639005,"10,591",723.880
AL Pickens County,1107,-88.096878,33.296809,"19,746",890.125
AL Pike County,1109,-85.941997,31.798726,"32,899",673.006
AL Randolph County,1111,-85.464068,33.296475,"22,913",584.135
AL Russell County,1113,-85.18698,32.289811,"52,947",647.192
AL Saint Clair County,1115,-86.315663,33.712963,"83,593",653.640
AL Shelby County,1117,-86.678104,33.262937,"195,085",809.525
AL Sumter County,1119,-88.200057,32.597481,"13,763",913.322
AL Talladega County,1121,-86.175805,33.369277,"82,291",760.306
AL Tallapoosa County,1123,-85.799553,32.863369,"41,616",766.254
AL Tuscaloosa County,1125,-87.52286,33.290202,"194,656","1,351.252"
AL Walker County,1127,-87.301092,33.791571,"67,023",805.194
AL Washington County,1129,-88.202078,31.406974,"17,581","1,088.566"
AL Wilcox County,1131,-87.302205,31.99033,"11,670",907.411
AL Winston County,1133,-87.364147,34.155888,"24,484",631.868
AK Aleutians East County,2013,-161.950749,55.243722,"3,141","15,009.860"
AK Aleutians West [4] County,2016,-178.338813,51.959447,"5,561","14,116.438"
AK Anchorage County,2020,-149.274354,61.177549,"291,826","1,961.001"
AK Bethel [4] County,2050,-160.15335,60.928916,"17,013","45,504.205"
AK Bristol Bay County,2060,-156.986612,58.731373,997,887.563
AK Denali County,2068,-150.026719,63.682732,"1,826","12,776.920"
AK Dillingham [4] County,2070,-158.602233,59.824816,"4,847","20,915.207"
AK Fairbanks North Star County,2090,-146.599867,64.690832,"97,581","7,443.688"
AK Haines County,2100,-135.578102,59.099905,"2,508","2,725.503"
AK Hoonah-Angoon [4] County,2105,-135.1851,58.076434,"2,150","10,914.153"
AK Juneau County,2110,-134.178781,58.3727,"31,275","3,253.893"
AK Kenai Peninsula County,2122,-152.321973,60.366373,"55,400","24,752.317"
AK Ketchikan Gateway County,2130,-131.106685,55.449938,"13,477","6,653.563"
AK Kodiak Island County,2150,-153.630911,57.553611,"13,592","12,021.829"
AK Lake And Peninsula County,2164,-156.705188,58.205065,"1,631","32,922.499"
AK Matanuska-Susitna County,2170,-149.407974,62.182174,"88,995","25,257.607"
AK Nome [4] County,2180,-164.188912,64.783686,"9,492","28,277.620"
AK North Slope County,2185,-153.47283,69.449343,"9,430","94,796.283"
AK Northwest Arctic County,2188,-160.021086,67.005066,"7,523","40,748.935"
AK Petersburg [4] County,2195,-133.527996,56.639612,"3,815","5,684.066"
AK Prince Of Wales-Hyder [4] County,2198,-132.875734,55.415683,"5,559","7,683.284"
AK Sitka County,2220,-135.332624,57.142509,"8,881","4,811.431"
AK Skagway County,2230,-135.335418,59.575097,968,464.036
AK Southeast Fairbanks [4] County,2240,-143.218628,63.864997,"7,029","25,059.464"
AK Valdez-Cordova [4] County,2261,-145.023141,61.34984,"9,636","40,340.175"
AK Wade Hampton [4] County,2270,-163.19095,62.283174,"7,459","19,672.951"
AK Wrangell County,2275,-132.040326,56.279121,"2,369","3,462.057"
AK Yakutat County,2282,-140.239593,59.999083,662,"9,462.867"
